1;Замок врез. Екатеринбург ЗВ 8-4 2 ригельн.;120;
2;Замок врезной ЗВА-2 1ригел. Екатеринбург;121;
3;Замок врез. Зенит ЗВ 1-2;224;
4;Замок врез. Ижевск ЗВ 8-6А;153;
5;Замок врез. Ижевск ЗВ 8-6А-1;169;
6;Замок врез. Чибис 900;233;
7;Замок врез. Чибис КТК-737;180;
8;Замок врезной Апекс 90-К;239;
9;Замок врезной Зенит ЗВ 4-3,01 золото;432;
10;Замок врезной Зенит ЗВ 4-3,02 белый;421;
11;Замок врезной Зенит ЗВ 4-3,02 медь;438;
12;Замок врезной Рязань ЗВ-1-2/11 3ригеля;359;
13;Замок Корал 350 бронза с ключом;295;
14;Замок Корал 380 золото с ключом 617062;317,5;
15;Замок Корал 390 бронза с ключом 617019;316;
16;Замок Корал 390 графит с ключом 617019;332;
17;Замок Корал 390 золото без ключа 617002;300,5;
18;Замок Корал 6062 золото с ключом 618002;262;
19;Замок Корал 6072 графит без ключа 618694;196;
20;Замок Корал 6072 медь без ключа 618728;189;
21;Замок Корал 6072 медь с ключом 618727;216;
22;Замок Корал 6072 св. дерево/золото б/ключа 618182;237;
23;Замок Корал 6072 св. дерево/золото с ключом 618181;244;
24;Замок Корал 6072 хром без ключа б/фиксатора;172;
25;Замок Корал 6072 хром с ключом 618690;205;
26;Замок Корал 6082 хром без ключа 618791;204;
27;Замок Корал 6092 графит с ключом 618218;210;
28;Замок Корал 762 золото с ключом 617150;300;
29;Замок Корал 764 белый без ключа;235;
30;Замок Корал 764 золото с ключом 617092;317;
31;Замок Корал 764 хром без ключа;296;
32;Замок Корал 891 белый без ключа;301,5;
33;Замок Корал 891 бронза с ключом 617040;316;
34;Замок Корал 891 золото с ключом 617022;306;
35;Замок Корал 891 мат хром с ключом  617003;303;
36;Защелка дверная Зенит;169;
37;Сердцевина 70мм 3кл;62;
38;Сердцевина д/замка 3 ключа;47;
39;Сердцевина д/замка 60мм 6кл-кл;72;
40;Навесные;;
41;Замок велосип.;67;
42;Замок велосипед. кодовый;145;
43;Замок контрольный ВС-5(Зенит);62,5;
44;Замок круглый;120;
45;Замок навесной Апекс длин. душка;54;
46;Замок навесн. Апекс 125 длиная душка;99;
47;Замок навесн. Апекс 126 длиная душка;147;
48;Замок навесн. Апекс 01-25;24,5;
49;Замок навесн. Апекс МВС 123;38;
50;Замок навесн. Апекс МВС 124;51;
51;Замок навесн. Апекс МВС 127/24*;177;
52;Замок навесн. кодовый;22;
53;"Замок навесной 50""";42,5;
54;"Замок навесной 60""";51,5;
55;"Замок навесной 60"" короткая душка";58;
56;Замок навесной 60мм Ермак 468045;69;
57;"Замок навесной 70""";72,4;
58;"Замок навесной серый 80""";83;
59;Замок навесной 80мм Ермак 468047;104;
60;Замок навесной Extra 60мм;58;
61;Замок навесной Extra 90 мм;96;
62;"Замок навесной 50"" бронь";52,3;
63;"Замок навесной бронь 60"" короткая дужка";66;
64;"Замок навесной бронь 60""";56;
65;"Замок навесной 70""бронь";77;
66;"Замок навесной 80"" бронь";108;
67;Замок навесной всепогодный 63мм;220;
68;Замок навесн. гаражн. О80 468006;147;
69;Замок навесной гаражный 468039;169;
70;"Замок навесной гаражный 80"" 468036";120;
71;"Замок навесной гаражный 80"" 468548";122;
72;"Замок навесной гаражный О75""";107;
73;Замок навесной ЗВС - 2 Елизарово(амбарный);137;
74;Замок навесной овал 50мм;64;
75;Замок навесной овал 60мм;79;
76;Замок навесной овал 70мм;96;
77;Замок навесной ЧАЗ ВС 2-М1-02/18*;205;
78;Замок навесной ЧАЗ ВС-2-А 30167;192,5;
79;Замок навесной ЧАЗ ВС-2-М1 30116;174;
80;Замок навесной ЧАЗ ВС-2-М1-01 30117;192;
81;Замок навесной чёрный 40мм 468054;28;
82;Замок навесной чёрный 50мм /10* 468057;36,5;
83;"Замок навесной чёрный 55"" 468059";41,5;
84;Замок навесной чёрный 60 мм/10 468197;65;
85;Замок навесной чёрный 70 мм/6*;103;
86;Замок навесной чёрный 80мм /6* 468202;124;
87;Замок навесной Чибис 002/2204 40мм чугун;36;
88;Замок навесной Чибис 363 32мм;32;
89;Замок навесной Чибис 364 38мм;39,5;
90;Замок навесной Чибис 365 50мм;74;
91;Замок навесной Чибис 366 63мм;104;
92;Замок навесной Чибис 367 75мм;147,5;
93;Накладные;;
94;Замок накл. Эльбор Кремень 1,04,51,5;476;
95;Замок наклад. ЗН-1-1 (Глазов) /24*;297;
96;Замок наклад. ЗН-1-1,2 (Глазов) /24*;288;
97;Замок накладной ЗЕНИТ ЗН-1-6 (медь) Дмитровград;247;
98;Замок накладной Пенза ЗН-1-5 2риг;475;
99;Замок накладной Рязань ЗНД-1А;297;
100;Замок накладной ЧИБИС 603-2 2риг.;269;
101;Инструмент;;
102;Круги отрезные;;
103;Брусок двустор. 200мм;19,5;
104;Брусок лодочка 225мм;14;
105;Брусок лодочка 35*15*225;22;
106;Брусок с зажимом;80;
107;Диск алмазный 115*22,2 турбо;59;
108;Диск алмазный 125*22,5мм турбо;67;
109;Диск алмазный 150*22,2мм турбо;111,5;
110;Диск алмазный 180*22,2мм турбо;158;
111;Диск алмазный 230*22 турбо;232;
112;Диск алмазный сегментный 180*22,2мм;147;
113;Диск лепестковый торц. 22*115;28;
114;Диск лепестковый торц. 22*150мм;49;
115;Диск лепестковый торц. 22*180;64;
116;Круг зачистной 115х6х22мм по металлу (Луга);25;
117;Круг зачистной 125мм по металлу;28,5;
118;Круг зачистной 150*6*22 по металлу;36,5;
119;Круг зачистной 180х6х22мм по металлу;42;
120;Круг зачистной 230х6х22мм по металлу (Луга);59;
121;Круг Луга 125*2,5*22 камень;15;
122;Круг Луга 150*2,5*22мм камень;18;
123;Круг Луга 180*2,5*22 камень;24;
124;Круг Луга 200*2,5*22 камень;29;
125;Круг Луга 230*2,5*22 камень;33,5;
126;Круг Луга сталь 115*1,0*22;9,6;
127;Круг Луга сталь 115*1,2*22/50*;10;
128;Круг Луга сталь 115*2,5*22 /25*;12;
129;Круг Луга сталь 125*1,0*22;10,5;
130;Круг Луга сталь 125*1,2*22/50*;11;
131;Круг Луга сталь 125*1,6*22;11,5;
132;Круг Луга сталь 125*2,5*22 /25*;13,5;
133;Круг Луга сталь 150*1,2*22;14;
134;Круг Луга сталь 150*1,6*22;14,5;
135;Круг Луга сталь 150*2,5*22 /25*;17;
136;Круг Луга сталь 180*1,6*22,2;19,5;
137;Круг Луга сталь 180*2,5*22 /25*;22;
138;Круг Луга сталь 200*2,5*22 /25*;26,5;
139;Круг Луга сталь 230*1,6*22;27;
140;Круг Луга сталь 230*2,5*22 /25*;29;
141;Круг Луга сталь 300*3,0*32;55;
142;Круг отрезной Ермак 115*2,5*22;9,5;
143;Круг отрезной Ермак 230*2,5*22;28,5;
144;Круг шлифовальный 125х20х32 (Луга);81,5;
145;Круг шлифовальный 150х20х32 (Луга);104,5;
146;Круг шлифовальный 175х20х32 (Луга);130;
147;Круг шлифовальный 200х20х32 (Луга);160;
148;Чашка конусная 150*50*32 40см;95;
149;Шлиф круг под липучку 125мм 10шт;60;
150;Шлиф круг резин. с липучкой 125мм;40;
151;Шлиф-лента 75*533 120;116;
152;Шлифлист №10;91;
153;Шлифлист №20;100;
154;Шлифлист №32;106;
155;Шлифлист №4;91;
156;Шлифлист №50;107;
157;Шлифлист №6;91;
158;Шлифсетка;45;
159;Ножовки;;
160;"Ножовка по дереву ""Ермак"" 1В 500мм зуб 5мм заточ.";148;
161;Ножовка по дереву 350мм Ермак зуб 5мм;72;
162;"Ножовка по дереву ""Ермак"" 400мм зуб 4мм 663379";141;
163;"Ножовка по дереву ""Ермак"" 400мм зуб 5мм";75;
164;"Ножовка по дереву ""Ермак"" 400мм, зуб 8мм. 663846";123;
165;"Ножовка по дереву ""Ермак"" 450мм зуб 5мм";73;
166;Ножовка по дереву 500мм д/сырой древ. 663016;157;
167;Ножовка по дереву Ермак 500мм зуб 5мм заточ;148;
168;"Ножовка по дереву ""Ермак"" 500мм, зуб 8мм.";90,5;
169;"Ножовка по дереву ""Ермак"" ЗА 350мм зуб 8мм";89;
170;"Ножовка по дереву ""Ермак"" ЗА 400мм зуб 8мм 663848";85,5;
171;"Ножовка по дереву ""Ермак"" ЗА 500мм 8мм";105;
172;Ножовка по дереву 600мм 12мм;243;
173;Ножовка по дереву Ермак 500мм закал. зуб 663384;153;
174;Ножовка по дереву 300 мм зуб 4мм Ижсталь;84,5;
175;Ножовка по дереву 400 мм Ижсталь 4мм;121;
176;Ножовка по дереву Ижсталь с 3-мя полотнами;155;
177;Ножовка по металлу 400мм с желт. ручкой;71;
178;Ножовка по металлу мастер;127,5;
179;Ножовка по металлу профи+2 полотна;220;
180;Отвертки;;
181;Набор отверток 4пр Ермак 9991;152;
182;Набор отверток 5пр.;252;
183;Набор отверток 6пр. Ермак;253;
184;Набор отверток 6пр мини;71;
185;Набор отверток диэлектрических 3 пр.;75;
186;Набор отверток Ермак 4пр. 9986;142;
187;Набор отверток Ермак 4пр. 9988;145;
188;Набор отверток под ключ 6пр. 9985-3;273;
189;Набор отверток часовых 11пр;45;
190;Набор отверток часовых бол.;21,5;
191;Отвертка 1*150мм Matrix(-);26;
192;"Отвертка 2-х стор.""ЕРМАК"" 3х50";11;
193;"Отвертка 2-х стор.""ЕРМАК"" 5х65 /12*";16;
194;Отвертка 2-х сторон 6*38;15;
195;"Отвертка 2-х стор.""ЕРМАК"" 6х75 /12*";21;
196;Отвертка 3,0*75 мм Matrix (-);18;
197;Отвертка  5*125(-)/12*;14;
198;Отвертка 5*125(+)/12*;14;
199;Отвертка 5*150 бибер;30;
200;Отвертка 6 насадок в ручке магнитная;52;
201;Отвертка Ермак 4*75мм(-);27;
202;Отвертка Ермак 4*75мм(+);27;
